Titulo,Empresa,Anyo,Genero,Plataforma,Multijugador
Super Mario 64 DS,Nintendo,2004,Action,Nintendo DS,0
Lumines: Puzzle Fusion,Ubisoft,2004,Strategy,Sony PSP,0
WarioWare Touched!,Nintendo,2004,"Action,Racing / Driving,Sports",Nintendo DS,1
Hot Shots Golf: Open Tee,Sony,2004,Sports,Sony PSP,0
Spider-Man 2,Activision,2004,Action,Nintendo DS,0
The Urbz: Sims in the City,EA,2004,Simulation,Nintendo DS,0
Ridge Racer,Namco,2004,Racing / Driving,Sony PSP,0
Metal Gear Ac!d,Konami,2004,Strategy,Sony PSP,0
Madden NFL 2005,EA,2004,Sports,Nintendo DS,0
Pokmon Dash,Nintendo,2004,Racing / Driving,Nintendo DS,0
Dynasty Warriors,,2004,"Action,Adventure,Role-Playing (RPG)",Sony PSP,0
Feel the Magic XY/XX,Sega,2004,"Action,Adventure,Racing / Driving,Sports",Nintendo DS,0
Ridge Racer DS,Namco,2004,Racing / Driving,Nintendo DS,0
Darkstalkers Chronicle: The Chaos Tower,Capcom,2004,Action,Sony PSP,0
Ape Escape Academy,Sony,2004,"Action,Sports",Sony PSP,1
Polarium,Nintendo,2004,Strategy,Nintendo DS,0
Asphalt: Urban GT,Ubisoft,2004,"Racing / Driving,Simulation",Nintendo DS,0
Zoo Keeper,,2004,Action,Nintendo DS,0
Mr. DRILLER: Drill Spirits,Namco,2004,Action,Nintendo DS,0
Sprung,Ubisoft,2004,Adventure,Nintendo DS,0
Armored Core: Formula Front - Extreme Battle,,2004,"Action,Strategy",Sony PSP,0
Puyo Pop Fever,Sega,2004,"Action,Strategy",Nintendo DS,0
Mario Kart DS,Nintendo,2005,Racing / Driving,Nintendo DS,0
Nintendogs,Nintendo,2005,Simulation,Nintendo DS,0
Brain Age: Train Your Brain in Minutes a Day!,Nintendo,2005,Action,Nintendo DS,0
Brain Agey: More Training in Minutes a Day!,Nintendo,2005,Action,Nintendo DS,0
Grand Theft Auto: Liberty City Stories,"Capcom,Rockstar",2005,"Action,Racing / Driving",Sony PSP,0
Animal Crossing: Wild World,Nintendo,2005,Simulation,Nintendo DS,0
Big Brain Academy,Nintendo,2005,Action,Nintendo DS,0
Call of Duty 2,"Activision,Konami",2005,Action,X360,1
Midnight Club 3: DUB Edition,Rockstar,2005,Racing / Driving,Sony PSP,0
Need for Speed: Most Wanted 5-1-0,EA,2005,Racing / Driving,Sony PSP,0
Pokmon Mystery Dungeon: Blue Rescue Team,Nintendo,2005,Role-Playing (RPG),Nintendo DS,0
Sonic Rush,Sega,2005,Action,Nintendo DS,0
Star Wars: Battlefront II,,2005,Action,Sony PSP,0
SOCOM: U.S. Navy SEALs - Fireteam Bravo,Sony,2005,Action,Sony PSP,0
Need for Speed: Most Wanted,EA,2005,Racing / Driving,X360,1
Zoo Tycoon DS,THQ,2005,"Simulation,Strategy",Nintendo DS,0
The Sims 2,EA,2005,"Role-Playing (RPG),Simulation",Nintendo DS,0
Mario & Luigi: Partners in Time,Nintendo,2005,"Action,Role-Playing (RPG)",Nintendo DS,0
Madden NFL 06,EA,2005,Sports,Sony PSP,0
Need for Speed Underground: Rivals,EA,2005,Racing / Driving,Sony PSP,1
Twisted Metal: Head-On,Sony,2005,"Action,Racing / Driving",Sony PSP,0
Perfect Dark Zero,Microsoft,2005,Action,X360,1
Super Monkey Ball: Touch & Roll,Sega,2005,Action,Nintendo DS,0
Super Princess Peach,Nintendo,2005,Action,Nintendo DS,0
Burnout Legends,EA,2005,"Action,Racing / Driving",Sony PSP,0
Madden NFL 06,EA,2005,Sports,X360,1
Clubhouse Games,Nintendo,2005,Strategy,Nintendo DS,0
ATV Offroad Fury: Blazin' Trails,Sony,2005,"Racing / Driving,Sports",Sony PSP,1
Untold Legends: Brotherhood of the Blade,"Activision,Sony",2005,"Action,Role-Playing (RPG)",Sony PSP,0
Tony Hawk's Underground 2: Remix,Activision,2005,Sports,Sony PSP,0
The Sims 2,EA,2005,"Simulation,Strategy",Sony PSP,0
WipEout Pure,Sony,2005,"Action,Racing / Driving",Sony PSP,0
NBA Live 06,EA,2005,Sports,Sony PSP,0
WWE Smackdown vs. Raw 2006,THQ,2005,"Action,Sports",Sony PSP,1
Dead or Alive 4,,2005,Action,X360,1
Phoenix Wright: Ace Attorney,Capcom,2005,"Adventure,Simulation",Nintendo DS,0
Spider-Man 2,Activision,2005,Action,Sony PSP,0
NFL Street 2,EA,2005,Sports,Sony PSP,1
Kirby: Canvas Curse,Nintendo,2005,Action,Nintendo DS,0
Battlefield 2: Modern Combat,EA,2005,Action,X360,1
Yoshi Touch & Go,Nintendo,2005,Action,Nintendo DS,0
Tiger Woods PGA Tour 06,EA,2005,Sports,X360,1
Condemned: Criminal Origins,Sega,2005,"Action,Adventure",X360,0
Peter Jackson's King Kong: The Official Game of...,Ubisoft,2005,Action,X360,1
Castlevania: Dawn of Sorrow,Konami,2005,"Action,Role-Playing (RPG)",Nintendo DS,0
SpongeBob SquarePants: The Yellow Avenger,THQ,2005,Action,Nintendo DS,0
Marvel Nemesis: Rise of the Imperfects ,EA,2005,Action,Sony PSP,0
Kameo: Elements of Power,Microsoft,2005,Action,X360,0
Advance Wars: Dual Strike,Nintendo,2005,Strategy,Nintendo DS,0
Trauma Center: Under the Knife,Nintendo,2005,"Action,Simulation",Nintendo DS,0
Coded Arms,Konami,2005,Action,Sony PSP,0
